entity_id,period,segment,true_ca,obs_ca,under_decl_ratio,app_R1_TVA,c_true_R1_TVA,sig_raw_R1_TVA,sig_disc_R1_TVA,label_R1_TVA,app_R2_IS,c_true_R2_IS,sig_raw_R2_IS,sig_disc_R2_IS,label_R2_IS,app_R3_IMF,c_true_R3_IMF,sig_raw_R3_IMF,sig_disc_R3_IMF,label_R3_IMF,app_R4_TPU,c_true_R4_TPU,sig_raw_R4_TPU,sig_disc_R4_TPU,label_R4_TPU,app_R5_IRPP,c_true_R5_IRPP,sig_raw_R5_IRPP,sig_disc_R5_IRPP,label_R5_IRPP,app_R6_PAT,c_true_R6_PAT,sig_raw_R6_PAT,sig_disc_R6_PAT,label_R6_PAT,app_R7_DECL,c_true_R7_DECL,sig_raw_R7_DECL,sig_disc_R7_DECL,label_R7_DECL,app_R8_BANK,c_true_R8_BANK,sig_raw_R8_BANK,sig_disc_R8_BANK,label_R8_BANK,label_any_nc,n_applicable
E00000,1,large,699810427.5944961,546452958.5613546,0.7805684400428582,True,0.5216542373230685,0.7273723926657948,1.0,0,True,0.2880673094436352,,,1,True,0.8865630705917511,0.9100384080489561,1.0,0,False,,,,0,True,0.8938834884182905,0.9773816136061767,1.0,0,True,0.4847373538188353,0.3607697904524844,0.0,1,True,0.5722058154614517,0.4900286252330448,0.0,0,True,0.6568018634939974,0.6642868146482513,1.0,0,1,7
E00001,1,informal,2656783.983350744,1980387.9069362327,0.7172414361111685,False,,,,0,False,,,,0,False,,,,0,True,0.32525572041796236,0.0,0.0,1,False,,,,0,False,,,,0,True,0.32606618395821724,,,1,True,0.6892565126726786,0.8038099488743434,1.0,0,1,3
E00002,1,small_formal,25347872.04277161,22348370.290531956,0.9177329691122569,False,,,,0,False,,,,0,False,,,,0,True,0.428507072227756,,,1,False,,,,0,False,,,,0,True,0.5289190991956086,0.46820628117271534,0.0,0,True,0.6437790159199783,0.758193704521284,1.0,0,1,3
E00003,1,small_formal,31125793.335094407,15937998.161626453,0.5297522248569292,False,,,,0,False,,,,0,False,,,,0,True,0.5979668511901175,,,0,False,,,,0,False,,,,0,True,0.3702441403866939,0.41556314352324053,0.0,1,True,0.29532604161119286,,,1,1,3
E00004,1,small_formal,99353853.32494996,79465659.44731557,0.7987356874588277,True,0.3723268096835813,0.4044753465523968,0.0,1,False,,,,0,True,0.9535736389653844,0.9355618878409357,1.0,0,False,,,,0,True,0.36949460297009173,0.37286712310392406,0.0,1,True,0.09332725793732624,,,1,True,0.6561096039813632,0.6869077683930894,1.0,0,True,0.12278021048385837,0.06823855284399365,0.0,1,1,6
E00005,1,small_formal,36309103.72180235,26728638.174016297,0.7390649376751981,False,,,,0,False,,,,0,False,,,,0,True,0.351842290022882,,,1,False,,,,0,False,,,,0,True,0.31075503638761615,0.25445841152091075,0.0,1,True,0.6107843188114286,,,0,1,3
E00006,1,small_formal,56733693.575276114,37125063.65103093,0.7105183824934889,False,,,,0,False,,,,0,False,,,,0,True,0.5029009732370134,,,0,True,0.5380707647779153,,,0,True,0.3271781477346854,0.27481664307221965,0.0,1,True,0.5888791760414347,0.6973916189989483,1.0,0,True,0.899466566404003,,,0,1,5
E00007,1,medium,80386556.04389785,44879057.001752675,0.5618533952011012,False,,,,0,False,,,,0,False,,,,0,True,0.128031048698923,0.0,0.0,1,True,0.3050347683308351,0.16430198254894263,0.0,1,True,0.3949032916841833,0.5202736018373076,1.0,1,True,0.5553941354131832,0.6122819397951432,1.0,0,True,0.8271662912215901,,,0,1,5
E00008,1,informal,19841124.11951248,16765147.669583185,0.8560184440653571,False,,,,0,False,,,,0,False,,,,0,True,0.21507225222234935,1.0,1.0,1,False,,,,0,False,,,,0,True,0.6013426261411916,0.8317920461891671,1.0,0,True,0.7355192698256855,0.6005714701739413,1.0,0,1,3
E00009,1,small_formal,38324247.5854381,31739383.372197554,0.833753743101816,False,,,,0,False,,,,0,False,,,,0,True,0.2438956777579629,0.0,0.0,1,True,0.5536423516130666,0.5722347522152365,1.0,0,True,0.2548132309944853,0.22405575304425127,0.0,1,True,0.8555685330364479,0.9274230840512011,1.0,0,True,0.5281818035089544,0.26987923576600814,0.0,0,1,5
E00010,1,informal,15811847.691285813,13040344.675859705,0.8514519801605546,False,,,,0,False,,,,0,False,,,,0,True,0.6848939832202466,1.0,1.0,0,False,,,,0,False,,,,0,True,0.915409766364864,0.9999185872645665,1.0,0,True,0.1434497804278404,0.19090399368413816,0.0,1,1,3
E00011,1,small_formal,32204128.820475288,27509860.832558274,0.8543492892280736,False,,,,0,False,,,,0,False,,,,0,True,0.62251421340096,1.0,1.0,0,False,,,,0,False,,,,0,True,0.8142659083082896,0.8390329927650682,1.0,0,True,0.6244723292342399,0.3200550026602262,0.0,0,0,3
E00012,1,small_formal,95212497.18865232,85029702.64473082,0.9100159376012744,True,0.1726651897946456,0.2699374240538637,0.0,1,False,,,,0,True,0.9275266171827307,0.9913518813920353,1.0,0,False,,,,0,True,0.8477283646380621,0.923017172894392,1.0,0,True,0.25464386415050266,0.34614297190283866,0.0,1,True,0.7504274857518096,0.7869598340989273,1.0,0,True,0.27766034371325155,0.10497149753506328,0.0,1,1,6
E00013,1,informal,11699433.296423135,8544738.292973638,0.7612882150112711,False,,,,0,False,,,,0,False,,,,0,True,0.3793083816424061,,,1,False,,,,0,False,,,,0,True,0.9096434234593581,0.8953514213507876,1.0,0,True,0.31729215641279523,0.1924956603917113,0.0,1,1,3
E00014,1,informal,7302128.228897173,5087565.425375655,0.6542085100897105,False,,,,0,False,,,,0,False,,,,0,True,0.2096894006764471,,,1,False,,,,0,False,,,,0,True,0.8219470370718946,0.7911069027934527,1.0,0,True,0.7744173817150873,0.7818266251466294,1.0,0,1,3
E00015,1,informal,5109539.149354336,4254110.4293027995,0.7996381808202491,False,,,,0,False,,,,0,False,,,,0,True,0.22715655589580375,1.0,1.0,1,False,,,,0,False,,,,0,True,0.600020008328706,0.5011699858114614,1.0,0,True,0.4098280753429472,,,1,1,3
E00016,1,informal,12272936.898518609,7667508.456059068,0.6167123723937974,False,,,,0,False,,,,0,False,,,,0,True,0.13952170129155647,0.0,0.0,1,False,,,,0,False,,,,0,True,0.9606003974666052,0.9931124676527994,1.0,0,True,0.12023023029395001,0.038882116756562765,0.0,1,1,3
E00017,1,informal,9572219.618100176,7619677.6154753715,0.8258736757245861,False,,,,0,False,,,,0,False,,,,0,True,0.25160860156952414,1.0,1.0,1,False,,,,0,False,,,,0,True,0.6449294173419615,,,0,True,0.4347102792296633,0.38778443382748956,0.0,1,1,3
E00018,1,medium,186488463.41728756,106253371.97748516,0.5455975963728593,True,0.36385859842835955,0.3671956541336523,0.0,1,True,0.49428652289755726,0.6712485213291278,1.0,1,True,0.9940463971503529,1.0,1.0,0,False,,,,0,True,0.8299817042302307,0.6545411794381968,1.0,0,True,0.5769281892443424,0.6076048182274745,1.0,0,True,0.5274727904383522,0.8830264796978146,1.0,0,True,0.4664556078603107,0.36880500165121227,0.0,1,1,7
E00019,1,large,1163607177.1661959,736171560.3456603,0.6221065467970199,True,0.4412986201198736,,,1,True,0.34522336647442503,,,1,True,0.9869271881828054,0.9999919857670455,1.0,0,False,,,,0,True,0.887716571031679,0.9236536157451763,1.0,0,True,0.7062013836064105,0.5347010351174863,1.0,0,True,0.7300922128474943,,,0,True,0.1167535513061783,0.09149143362578055,0.0,1,1,7
